model,batch_size,elapsed_s,throughput_tok_per_s
BiLSTM-char-fp32,1,2.0445472999999765,6214.089544419024
BiLSTM-char-fp32,4,1.0449095999938436,12158.946573057474
BiLSTM-char-fp32,16,0.885983899992425,14339.989699709697
BiLSTM-char-fp32,32,1.0308797000034247,12324.425439707265
BiLSTM-char-fp32,64,1.2086363999987952,10511.846242602543
BiLSTM-char-int8,1,2.4159873999888077,5258.719478445482
BiLSTM-char-int8,4,1.2256355000135954,10366.05091795976
BiLSTM-char-int8,16,0.9263444000098389,13715.201387156934
BiLSTM-char-int8,32,0.9950823999824934,12767.786868930172
BiLSTM-char-int8,64,1.282457199995406,9906.76336024743
